IssueNo,number
170418001,1,2,4
170418002,4,4,6
170418003,1,6,6
170418004,1,6,6
170418005,2,4,4
170418006,1,2,5
170418007,1,3,6
170418008,2,3,6
170418009,3,4,5
170418010,2,6,6
170418011,3,4,4
170418012,2,5,6
170418013,2,4,6
170418014,2,5,5
170418015,3,4,5
170418016,1,2,3
170418017,1,5,5
170418018,2,4,6
170418019,4,5,5
170418020,5,6,6
170418021,2,3,6
170418022,1,1,4
170418023,1,2,6
170418024,1,1,3
170418025,3,4,6
170418026,1,2,6
170418027,1,4,5
170418028,1,3,6
170418029,1,4,6
170418030,1,1,2
170418031,1,2,4
170418032,2,6,6
170418033,1,4,4
170418034,4,5,6
170418035,4,4,5
170418036,1,2,4
170418037,4,5,5
170418038,1,2,3
170418039,4,4,5
170418040,1,3,5
170418041,1,4,5
170418042,4,4,5
170418043,1,3,6
170418044,1,4,4
170418045,1,4,4
170418046,3,6,6
170418047,2,2,5
170418048,1,2,3
170418049,1,2,4
170418050,1,4,5
170418051,2,4,4
170418052,1,1,6
170418053,3,5,6
170418054,1,3,5
170418055,3,5,6
170418056,1,3,6
170418057,2,2,3
170418058,1,5,6
170418059,6,6,6
170418060,3,5,5
170418061,1,2,3
170418062,3,3,5
170418063,2,3,4
170418064,5,5,6
170418065,2,3,6
170418066,2,3,6
170418067,4,4,6
170418068,1,2,2
170418069,1,1,1
170418070,1,1,5
170418071,4,5,6
170418072,2,2,2
170418073,2,3,6
170419001,2,2,5
170419002,2,4,5
170419003,3,5,6
170419004,2,2,6
170419005,1,3,4
170419006,5,6,6
170419007,1,1,1
170419008,1,2,2
170419009,1,1,2
170419010,3,3,5
170419011,2,2,5
170419012,4,4,6
170419013,2,3,3
170419014,4,5,6
170419015,1,4,6
170419016,4,4,6
170419017,1,4,4
170419018,2,4,5
170419019,1,4,4
170419020,4,6,6
170419021,1,1,3
170419022,1,1,2
170419023,1,2,2
170419024,6,6,6
170419051,3,4,6
170419052,1,2,3
170419053,2,5,5
170419054,1,3,5
170419055,2,2,6
170419056,2,4,6
170419057,3,3,4
170419058,3,5,6
170419059,1,3,5
170419060,2,4,6
170419061,2,5,6
170419062,3,4,6
170419063,1,5,6
170419064,1,5,5
170419065,1,2,6
170419066,1,2,5
170419067,3,3,5
170419068,2,2,6
170419069,1,2,3
170419070,1,4,5
170419071,4,4,4
170419072,1,5,6
170419073,5,5,6
170420001,2,4,6
170420002,3,3,5
170420003,2,3,6
170420004,1,4,4
170420005,1,2,5
170420006,2,4,4
170420007,2,3,6
170420008,2,3,4
170420009,1,1,2
170420010,1,4,5
170420011,2,3,4
170420012,1,3,5
170420013,4,4,6
170420014,1,2,6
170420015,2,3,5
170420016,1,1,3
170420017,2,4,6
170420018,2,4,6
170420019,1,3,5
170420020,1,3,5
170420021,2,3,6
170420022,2,3,4
170420023,2,3,3
170420024,2,4,5
170420025,2,4,5
170420026,1,2,3
170420027,1,3,5
170420028,1,1,3
170420029,1,4,5
170420030,1,2,6
170420031,1,3,4
170420032,1,4,4
170420033,2,3,6
170420034,1,3,6
170420035,1,3,4
170420036,1,6,6
170420037,2,6,6
170420038,3,4,5
170420039,4,4,4
170420040,1,2,5
170420041,1,5,6
170420042,1,3,5
170420043,2,4,6
170420044,3,3,6
170420045,2,3,6
170420046,1,2,6
170420047,2,3,5
170420048,2,4,5
170420049,1,2,5
170420050,1,2,6
170420051,1,2,6
170420052,1,1,3
170420053,3,5,5
170420054,4,5,6
170420055,1,2,3
170420056,2,2,3
170420057,3,6,6
170420058,1,2,5
170420059,3,4,5
170420060,2,5,6
170420061,1,3,6
170420062,2,2,6
170420063,3,4,6
170420064,1,4,4
170420065,2,2,3
170420066,1,3,5
170420067,1,5,6
170420068,2,5,6
170420069,2,5,6
170420070,3,3,5
170420071,3,5,6
170420072,1,3,6
170420073,1,2,3
170421001,2,3,4
170421002,1,4,6
170421003,1,3,6
170421004,3,3,6
170421005,2,4,6
170421006,1,2,2
170421007,2,4,4
170421008,4,5,6
170421009,1,1,6
170421010,1,2,4
170421011,2,6,6
170421012,1,1,1
170421013,2,2,5
170421014,3,5,6
170421015,5,6,6
170421016,1,1,4
170421017,4,4,5
170421018,3,3,4
170421019,1,1,6
170421020,3,5,5
170421021,3,5,5
170421022,4,4,4
170421023,2,2,5
170421024,2,2,6
170421025,3,4,4
170421026,1,3,6
170421027,1,1,3
170421028,5,5,5
170421029,3,6,6
170421030,1,6,6
170421031,3,5,6
170421032,1,4,5
170421033,1,3,4
170421034,3,4,4
170421035,3,3,4
170421036,1,2,5
170421037,2,5,6
170421038,2,2,3
170421039,1,2,3
170421040,1,3,6
170421041,2,3,6
170421042,2,4,4
170421043,1,4,6
170421044,4,4,5
170421045,1,2,5
170421046,2,4,5
170421047,2,5,6
170421048,1,3,6
170421049,3,4,5
170421050,3,4,6
170421051,1,1,6
170421052,4,5,6
170421053,1,4,4
170421054,3,6,6
170421055,1,3,3
170421056,1,2,5
170421057,1,5,6
170421058,2,3,4
170421059,1,5,5
170421060,4,5,5
170421061,1,3,4
170421062,2,2,5
170421063,4,4,5
170421064,1,4,5
170421065,1,1,4
170421066,2,2,5
170421067,3,5,5
170421068,1,3,6
170421069,2,4,5
170421070,1,2,4
170421071,1,2,6
170421072,3,5,6
170421073,2,3,6
170422001,1,2,3
170422002,1,1,4
170422003,4,5,5
170422004,1,2,4
170422005,1,2,6
170422006,1,2,4
170422007,3,4,6
170422008,2,5,5
170422009,4,5,6
170422010,2,2,6
170422011,1,2,6
170422012,4,5,6
170422013,2,5,6
170422014,2,4,6
170422015,1,4,5
170422016,2,5,6
170422017,1,2,3
170422018,2,4,5
170422019,2,3,6
170422020,2,4,5
170422021,3,3,3
170422022,4,5,5
170422023,3,4,4
170422024,1,2,5
170422025,2,5,6
170422026,3,4,4
170422027,1,5,5
170422028,3,4,4
170422029,4,5,6
170422030,2,4,6
170422031,2,3,6
170422032,2,2,5
170422033,3,4,6
170422034,2,4,6
170422035,2,3,4
170422036,3,4,4
170422037,1,4,6
170422038,3,4,4
170422039,3,4,6
170422040,4,5,6
170422041,3,5,6
170422042,2,3,4
170422043,2,4,6
170422044,3,5,6
170422045,2,4,4
170422046,1,1,3
170422047,5,6,6
170422048,2,4,5
170422049,1,3,4
170422050,1,1,3
170422051,1,1,1
170422052,5,6,6
